cnn_key,midblock_rows,midblock_measure_types,midblock_n_measure_types,midblock_units_total,midblock_first_install_dt,midblock_last_install_dt,midblock_complete_rows,midblock_has_complete,midblock_statuses,midblock_neighborhoods,latest_pci_score,latest_pci_change_dt,latest_functional_class,has_latest_pci,midblock_age_days_as_of_latest_pci
573000,1,['5-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['West Portal'],77.0,2025-09-16 09:10:38,Residential,True,1660.0
574000,2,"['3-Lump Speed Cushion', 'Traffic Island']",2,2.0,2023-09-01,2023-09-01,2,True,['Complete'],['West Portal'],64.0,2025-09-16 09:10:38,Residential,True,746.0
593000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['Mission Dolores'],63.0,2025-09-17 09:10:38,Arterial,True,
594000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['Mission Dolores'],70.0,2025-09-17 09:10:38,Arterial,True,
601000,1,['5-Lump Speed Cushion'],1,1.0,2022-04-01,2022-04-01,1,True,['Complete'],['Corona Heights'],100.0,2025-12-10 09:43:29,Collector,True,1349.0
602000,1,['5-Lump Speed Cushion'],1,1.0,2022-04-01,2022-04-01,1,True,['Complete'],['Corona Heights'],100.0,2025-12-10 09:33:41,Collector,True,1349.0
607000,1,['Speed Hump'],1,1.0,2015-06-01,2015-06-01,1,True,['Complete'],['Central Richmond'],79.0,2025-08-12 08:20:33,Residential,True,3725.0
608000,1,['Speed Hump'],1,1.0,2015-06-01,2015-06-01,1,True,['Complete'],['Central Richmond'],75.0,2025-08-12 08:20:33,Residential,True,3725.0
609000,1,['3-Lump Speed Cushion'],1,2.0,2023-02-01,2023-02-01,1,True,['Complete'],['Inner Richmond'],80.0,2025-08-12 08:20:33,Residential,True,923.0
610000,1,['Speed Hump'],1,2.0,2017-06-01,2017-06-01,1,True,['Complete'],['Inner Richmond'],76.0,2025-08-12 08:20:33,Residential,True,2994.0
612000,1,['3-Lump Speed Cushion'],1,2.0,2025-11-01,2025-11-01,1,True,['Complete'],['Inner Richmond'],79.0,2025-08-12 08:20:33,Residential,True,-81.0
626000,1,['Speed Hump'],1,2.0,2023-09-01,2023-09-01,1,True,['Complete'],['Golden Gate Heights'],83.0,2025-09-05 09:10:39,Residential,True,735.0
629000,1,['3-Lump Speed Cushion'],1,1.0,2023-09-01,2023-09-01,1,True,['Complete'],['West Portal'],84.0,2025-09-05 09:10:39,Residential,True,735.0
630000,1,['Speed Hump'],1,1.0,2008-01-01,2008-01-01,1,True,['Complete'],['West Portal'],90.0,2025-09-05 09:10:39,Residential,True,6457.0
664000,1,['Speed Hump'],1,2.0,2020-06-01,2020-06-01,1,True,['Complete'],['Duboce Triangle'],70.0,2025-10-06 09:10:23,Residential,True,1953.0
665000,1,['Speed Hump'],1,2.0,2019-12-01,2019-12-01,1,True,['Complete'],['Duboce Triangle'],61.0,2025-10-06 09:10:40,Residential,True,2136.0
667000,1,['Speed Hump'],1,2.0,2022-05-01,2022-05-01,1,True,['Complete'],['Corona Heights'],73.0,2025-09-28 09:10:40,Residential,True,1246.0
673000,1,['3-Lump Speed Cushion'],1,2.0,2025-11-01,2025-11-01,1,True,['Complete'],['Inner Richmond'],80.0,2025-08-12 08:20:33,Residential,True,-81.0
674000,1,[],0,,,,0,False,['Pending design review and approval'],['Inner Richmond'],79.0,2025-08-12 08:20:33,Residential,True,
676000,1,['Speed Hump'],1,2.0,2020-07-01,2020-07-01,1,True,['Complete'],['Inner Richmond'],83.0,2025-08-12 08:20:33,Residential,True,1868.0
683000,1,['Speed Hump'],1,1.0,,,0,False,['Pending construction'],['Golden Gate Heights'],70.0,2025-09-02 09:10:40,Residential,True,
689000,1,['3-Lump Speed Cushion'],1,2.0,2025-12-01,2025-12-01,1,True,['Complete'],['Golden Gate Heights'],95.0,2025-09-04 16:20:04,Residential,True,-88.0
690000,1,['3-Lump Speed Cushion'],1,2.0,2023-09-01,2023-09-01,1,True,['Complete'],['Golden Gate Heights'],83.0,2025-09-04 16:20:04,Residential,True,734.0
691000,1,[],0,,,,0,False,['Pending design review and approval'],['Golden Gate Heights'],79.0,2025-09-02 09:10:40,Residential,True,
695000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['West Portal'],82.0,2025-09-02 09:10:40,Residential,True,
753000,1,['Speed Hump'],1,1.0,,,1,True,['Complete'],['Central Richmond'],68.0,2025-08-01 08:20:35,Residential,True,
755000,1,['Speed Hump'],1,2.0,2020-07-01,2020-07-01,1,True,['Complete'],['Inner Richmond'],82.0,2024-06-03 10:47:24,Residential,True,1433.0
757000,1,['Speed Hump'],1,1.0,,,1,True,['Complete'],['Inner Sunset'],83.0,2025-09-02 09:10:41,Residential,True,
758000,1,['Speed Hump'],1,1.0,2007-06-01,2007-06-01,1,True,['Complete'],['Inner Sunset'],71.0,2025-09-02 09:10:41,Residential,True,6668.0
759000,1,['3-Lump Speed Cushion'],1,2.0,2026-02-01,2026-02-01,1,True,['Complete'],['Inner Sunset'],87.0,2025-09-02 09:10:41,Residential,True,-152.0
760000,1,['Speed Hump'],1,1.0,2015-09-01,2015-09-01,1,True,['Complete'],['Inner Sunset'],78.0,2025-09-02 09:10:41,Residential,True,3654.0
761000,2,['Speed Hump'],1,3.0,2015-04-01,2024-10-01,1,True,"['Complete', 'Obsolete']","['Golden Gate Heights', 'Inner Sunset']",86.0,2025-09-02 09:10:41,Residential,True,3807.0
762000,1,['Speed Hump'],1,2.0,2015-07-01,2015-07-01,1,True,['Complete'],['Inner Sunset'],83.0,2025-09-02 09:10:42,Residential,True,3716.0
763000,1,['3-Lump Speed Cushion'],1,2.0,2025-12-01,2025-12-01,1,True,['Complete'],['Golden Gate Heights'],93.0,2025-09-02 09:10:42,Residential,True,-90.0
764000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['Golden Gate Heights'],87.0,2025-09-02 09:10:42,Residential,True,
765000,1,['3-Lump Speed Cushion'],1,2.0,2021-02-01,2021-02-01,1,True,['Complete'],['Golden Gate Heights'],90.0,2025-09-02 09:10:42,Residential,True,1674.0
766000,1,[],0,,,,0,False,['Pending design review and approval'],['Golden Gate Heights'],70.0,2025-09-02 09:10:42,Residential,True,
769000,1,['3-Lump Speed Cushion'],1,2.0,2021-02-01,2021-02-01,1,True,['Complete'],['West Portal'],85.0,2025-09-02 09:10:42,Residential,True,1674.0
