"row_id","objectid","cnn","nhood","streetname","district","from_st","to_st","project_location","tc_measure","units","install_mo","install_yr","install_datetime","fiscal_yr","program","current_status","current_ti","next_step","next_step_2","shape","data_as_of","data_loaded_at"
"319","28244","4999000","Noe Valley","DUNCAN ST","8","GUERRERO ST","DOLORES ST","Duncan Street from Guerrero Street to Dolores Street","3-Lump Speed Cushion","2","<Null>","<Null>",,"FY 2021-2022","App-Based","Pending design review and approval","TBD","Pending construction","TBD","LINESTRING (-122.422310655 37.74637652, -122.424602793 37.7462414)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"320","28245","5000000","Noe Valley","DUNCAN ST","8","DOLORES ST","CHURCH ST","Duncan Street from Dolores Street to Church Street","Speed Hump","2","10","2015","2015/10/01",,"Site Specific Backlog","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.424602793 37.7462414, -122.426891189 37.746098768)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"322","28259","4929000","South of Market","DORE ST","6","HOWARD ST","FOLSOM ST","Dore Street from Howard Street to Folsom Street","3-Lump Speed Cushion","2","<Null>","2018",,"FY 2015-2016","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.413768847 37.774516258, -122.412225006 37.773284781)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"323","28264","4934000","Mission Dolores","DORLAND ST","8, 9","GUERRERO ST","DOLORES ST","Dorland Street from Guerrero Street to Dolores Street","Speed Hump","2","4","2017","2017/04/01","FY 2015-2016","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.423926563 37.762341013, -122.425994665 37.762226014, -122.426145985 37.762160359)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"324","28268","4938000","Hunters Point","KISKA RD","10","DORMITORY RD \ KIRKWOOD AVE","REARDON RD","Kiska Rd from Dormitory Rd \ Kirkwood Avenue to Reardon Rd","Speed Hump","2","0","0","1900/01/01","FY 2013-2014",,"Complete","<Null>","<Null>","<Null>","LINESTRING (-122.374928082 37.729659694, -122.375730199 37.730061331, -122.376274469 37.73014621, -122.376646894 37.730115333, -122.377072563 37.730015006, -122.377202613 37.730015828)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"326","29018","4252000","Bernal Heights North","COLERIDGE ST","9","COSO AVE","POWERS AVE","Coleridge Street from Coso Avenue to Powers Avenue","Speed Bump","1","0","0","1900/01/01",,,"Complete","<Null>","<Null>","<Null>","LINESTRING (-122.418159371 37.746078014, -122.418401952 37.745734804)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"327","29019","4253000","Bernal Heights","COLERIDGE ST","9","POWERS AVE","FAIR AVE","Coleridge Street from Powers Avenue to Fair Avenue","Speed Hump","1","7","2018","2018/07/01",,"Restoration After Paving (2807J)","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.418401952 37.745734804, -122.418784785 37.745150766)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"328","29025","4259000","Bernal Heights North","COLERIDGE ST","9","EUGENIA AVE","KINGSTON ST","Coleridge Street from Eugenia Avenue to Kingston Street","Speed Hump","1","0","0","1900/01/01",,,"Complete","<Null>","<Null>","<Null>","LINESTRING (-122.420979819 37.74175012, -122.421264137 37.741313722)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"329","29029","4263000","St. Mary's Park","COLLEGE AVE","8, 9","SAINT MARYS AVE","CRESCENT AVE \ MISSION ST","College Avenue from Saint Marys Avenue to Crescent Avenue \ Mission Street","3-Lump Speed Cushion","2","10","2017","2017/10/01",,"SJA Side Streets","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.427838803 37.734693899, -122.427103369 37.735457096, -122.424930534 37.735266286, -122.424702562 37.735369871)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"330","29044","4274000","Jordan Park - Laurel Heights","COLLINS ST","2","MAYFAIR DR","EUCLID AVE","Collins Street from Mayfair Drive to Euclid Avenue","3-Lump Speed Cushion","2","3","2023","2023/03/01","FY 2017-2018","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.450391251 37.786083137, -122.450283639 37.78557748, -122.450178391 37.784914847, -122.450135686 37.784480902)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"331","29046","4276000","Lone Mountain","COLLINS ST","2","GEARY BLVD","ANZA ST","Collins Street from Geary Boulevard to Anza Street","Speed Hump","1","1","2022","2022/01/01","FY 2019-2020","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.450092302 37.782116603, -122.449817447 37.780752006)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"332","29499","3833000","Cayuga","CAYUGA AVE","11","VALERTON CT","ONONDOGA AVE","Cayuga Avenue from Valerton Court to Onondaga Avenue","Speed Hump","1","4","2017","2017/04/01","FY 2015-2016","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.439350073 37.722733433, -122.439764643 37.722069003)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"333","29500","3834000","Cayuga","CAYUGA AVE","11","ONONDAGA AVE","BALHI CT","Cayuga Avenue from Onondaga Avenue to Balhi Court","Speed Hump","1","1","2020","2020/01/01","FY 2018-2019","D11 NTIP","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.439764643 37.722069003, -122.440109243 37.721516702)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
