unique_id,case_id_fkey,latitude,longitude,death_datetime,collision_datetime,location,age,sex,deceased,collision_type,street_type,analysis_neighborhood,supervisor_district
261,,37.78496026004923,-122.41954785444854,2020-02-24 15:52:00,2020-02-24 08:30:00,Polk Street and O'Farrell Street,80.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
262,200154497,37.78693970625616,-122.41151576686327,2020-03-01 08:03:00,2020-03-01 07:27:00,Geary Boulevard at Taylor Street,67.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,3.0
263,200166890,37.761700908871845,-122.42157840092688,2020-03-09 21:57:00,2020-03-05 23:00:00,Valencia Street at 18th Street,49.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
267,200020387,37.82317492258412,-122.37490669983504,2020-01-08 23:50:00,2020-01-08 23:33:00,"West end 9th Street at Avenue B, Treasure Island",45.0,Male,Driver,Motor Vehicle Collision,City Street,Treasure Island,6.0
268,,37.76478345249901,-122.42410268484156,2020-03-17 21:44:00,2020-03-17 20:15:00,Guerrero Street at 16th Street,36.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Mission,8.0
269,200252819,37.75242680127862,-122.39458697760482,2020-04-21 19:35:00,2020-04-21 17:30:00,Dakota Street and 25th Street,28.0,Female,Driver,Motor Vehicle Collision,City Street,Bayview Hunters Point,10.0
271,200252819,37.75242699311767,-122.39458709646011,2020-04-21 21:45:00,2020-04-21 17:30:00,Dakota Street and 25th Street,32.0,Female,Passenger,Motor Vehicle Collision,City Street,Bayview Hunters Point,10.0
274,200324214,37.765991207374874,-122.45596768013012,2020-05-29 08:07:00,2020-05-29 07:30:00,Westbound 600 block of Frederick Street,31.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,Inner Sunset,8.0
275,200366197,37.72403561320092,-122.40210839181567,2020-06-18 10:18:00,2020-06-18 07:00:00,Dwight Street and San Bruno Avenue,63.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Portola,9.0
276,200367474,37.76606248719723,-122.47736282965312,2020-06-18 17:15:00,2020-06-18 16:38:00,Crossover Drive and Martin Luther King Jr. Drive,53.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Golden Gate Park,4.0
277,200414031,37.77825101707722,-122.41988322968012,2020-07-13 20:13:00,2020-07-10 21:29:00,Grove Street and Van Ness Avenue,58.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Hayes Valley,5.0
278,200431392,37.74713195706157,-122.40169562533887,2020-07-19 12:07:00,2020-07-19 11:59:00,Bayshore Boulevard and Jerrold Avenue,53.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Bayview Hunters Point,10.0
279,200428418,37.759029397916585,-122.42584342223284,2020-07-17 18:00:00,2020-07-17 13:13:00,Dolores Street and Cumberland Street,23.0,Male,Bicyclist,Pedestrian vs Bicyclist,City Street,Castro/Upper Market,8.0
280,200457348,37.76606248719723,-122.47736282965312,2020-08-02 13:16:00,2020-07-30 19:08:00,Martin Luther King Drive and 19th Avenue,23.0,Male,Pedestrian,Pedestrian Collision,City Street,Golden Gate Park,4.0
281,200480593,37.785354269046216,-122.42469094686636,2020-08-11 07:08:00,2020-08-11 06:58:00,Geary Boulevard and Gough Street,50.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Japantown,2.0
282,200491142,37.71266781323535,-122.4317012887402,2020-08-15 20:31:00,2020-08-15 19:30:00,1500 block of Geneva Avenue at Prague Street,63.0,Male,Driver,Motor Vehicle Collision,City Street,Excelsior,11.0
285,200539021,37.77883663274191,-122.44534673997646,2020-09-07 14:32:00,2020-09-07 14:26:00,Turk Boulevard at Central Avenue,57.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Lone Mountain/USF,2.0
286,200592740,37.749684623085095,-122.39728541610698,2020-10-02 04:50:00,2020-10-02 00:00:00,Cesar Chavez Street and Evans Avenue,55.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Bayview Hunters Point,10.0
287,200616209,37.77725391818992,-122.45858063001226,2020-10-13 01:11:00,2020-10-13 00:38:00,Turk Boulevard and Arguello Boulevard,57.0,Male,Driver,Motor Vehicle Collision,City Street,Lone Mountain/USF,1.0
288,200618722,37.77393537206349,-122.44609172631633,2020-10-14 04:23:00,2020-10-14 00:00:00,Masonic Avenue and Hayes Street,42.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Lone Mountain/USF,5.0
289,200649216,37.78827973250724,-122.42359407220243,2020-10-27 19:44:00,2020-10-27 19:03:00,Franklin Street at Bush Street,30.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Western Addition,2.0
291,200704616,37.7657832994918,-122.4075342296065,2020-12-07 00:00:00,2020-11-21 19:31:00,16th Street and Potrero Avenue,,Male,Driver,Motor Vehicle Collision,City Street,Mission,9.0
292,200725327,37.76560583888232,-122.41048668921316,2020-12-01 20:08:00,2020-12-01 00:00:00,16th Street and Bryant Street,33.0,Male,Standup Powered Device Rider,e-Scooter vs Motor Vehicle,City Street,Mission,9.0
293,200752258,37.77945546849157,-122.49866461951136,2020-12-01 19:05:00,2020-12-01 00:00:00,38th Avenue and Geary Boulevard,68.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Outer Richmond,1.0
294,200729614,37.802336811683766,-122.40025916696705,2020-12-06 17:26:00,2020-12-03 13:54:00,700 Block of Embarcadero,51.0,Male,Standup Powered Device Rider,e-Scooter Collision,City Street,Financial District/South Beach,3.0
296,,37.788007160701056,-122.3997980237196,2020-12-31 00:00:00,2020-12-31 00:00:00,Mission Street and 2nd Street,60.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Financial District/South Beach,6.0
297,,37.788007160701056,-122.3997980237196,2020-12-31 00:00:00,2020-12-31 00:00:00,Mission Street and 2nd Street,27.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Financial District/South Beach,6.0
298,200788171,37.77290912275509,-122.42218643820335,2021-01-19 00:00:00,2020-12-30 00:00:00,Gough Street and Market Street,81.0,Male,Motorcyclist,Motorcycle Collision,City Street,Hayes Valley,6.0
300,210046204,37.70981244653432,-122.4710277637516,2021-01-20 22:52:00,2021-01-20 22:38:00,Junipero Serra Blvd and Alemany Blvd,47.0,Male,Driver,Motor Vehicle Collision,City Street,Oceanview/Merced/Ingleside,7.0
301,210043288,37.75204680982306,-122.421595151812,2021-01-23 03:54:00,2021-01-19 20:31:00,24th Street and San Jose Avenue,85.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,8.0
302,210078605,37.71857435924796,-122.4850767869654,2021-02-04 08:04:00,2021-02-04 07:56:00,Lake Merced Boulevard and Higuera Avenue,27.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Lakeshore,7.0
304,210092188,37.71858492998504,-122.39204998252886,2021-02-10 10:24:00,2021-02-10 10:11:00,Ingerson Avenue and Redondo Street,12.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Bayview Hunters Point,10.0
307,210137687,37.7164595455178,-122.4410195624394,2021-03-02 22:40:00,2021-03-02 12:57:00,Geneva Avenue and Mission Street,79.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Excelsior,11.0
308,210151358,37.72289741404099,-122.40490719998289,2021-03-09 01:25:00,2021-03-08 14:00:00,600 block of Goettingen Street,63.0,Male,Bicyclist,Bicycle Collision,City Street,Portola,9.0
310,210190726,37.72180931029443,-122.41648441787,2021-03-27 12:23:00,2021-03-27 11:40:00,Cambridge Street and John F. Shelley Drive,18.0,Male,Motorcyclist,Motorcycle Collision,City Street,McLaren Park,11.0
311,210206414,37.783784933742325,-122.39893033200352,2021-04-03 14:27:00,2021-04-03 13:00:00,Third Street and Folsom Street,78.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
313,210215722,37.7795641496944,-122.43195180267146,2021-04-14 19:22:00,2021-04-07 15:51:00,Golden Gate Avenue and Fillmore Street,81.0,Female,Pedestrian,Pedestrian vs Motorcycle,City Street,Western Addition,5.0
314,210250518,37.78065582775447,-122.47231225588575,2021-04-24 00:33:00,2021-04-24 00:22:00,Geary Boulevard and Park Presidio Boulevard,28.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Outer Richmond,1.0
315,210306199,37.77751171073788,-122.41804316646618,2021-05-18 19:14:00,2021-05-18 18:59:00,Polk Street and Hayes Street,29.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,6.0
316,210312431,37.79097319159971,-122.4173913354213,2019-06-15 22:29:00,2021-05-21 11:14:00,California Street and Hyde Street,25.0,Male,Motorcyclist,Motorcycle Collision,City Street,Nob Hill,3.0
317,210330706,37.765314639540925,-122.41530838931412,2021-06-25 14:48:00,2021-05-28 21:22:00,16th Street and Folsom Street,72.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
318,210481280,37.813223804380726,-122.37103153837926,2021-07-29 21:39:00,2021-07-29 00:00:00,Treasure Island Road and Macalla Road,54.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Treasure Island,6.0
319,210517472,37.71276659553583,-122.43192723554507,2021-08-13 22:52:00,2021-08-13 22:14:00,Geneva Avenue and Prague Street,32.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Excelsior,11.0
320,210519687,37.78415186358491,-122.43456209847798,2021-08-15 01:59:00,2021-08-15 01:51:00,Geary Boulevard and Steiner Street,25.0,Female,Motorcyclist,Motorcycle Collision,City Street,Western Addition,5.0
321,210544060,37.785743989855305,-122.4058310112514,2021-08-17 14:08:00,2021-08-15 03:00:00,Market Street and 4th Street,27.0,Male,Standup Powered Device Rider,e-Scooter Collision,City Street,South of Market,6.0
322,210580951,37.7843492692832,-122.40930917933537,2021-09-08 23:45:00,2021-09-08 23:14:00,Mason Street at Eddy Street,42.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Tenderloin,5.0
324,210606400,37.758226828542085,-122.42576680671888,2021-09-18 23:20:00,2021-09-18 22:40:00,20th Street at Dolores Street,47.0,Male,Bicyclist,Bicycle Collision,City Street,Mission,8.0
325,210606701,37.73585911267676,-122.4081690986622,2021-09-19 01:58:00,2021-09-19 02:23:00,Alemany Blvd at San Bruno Ave,39.0,Female,Driver,Motor Vehicle Collision,City Street,Portola,9.0
326,210671356,37.78007469524043,-122.4202471839141,2021-10-14 02:23:00,2021-10-14 01:00:00,Van Ness Ave at McAllister St,36.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Hayes Valley,5.0
327,210689230,37.71177615408861,-122.3867743933592,2021-10-20 23:30:00,2021-10-20 22:00:00,Jamestown Ave at Bill Walsh Way,23.0,Male,Driver,Motor Vehicle Collision,City Street,Bayview Hunters Point,10.0
328,210647028,37.80038582388234,-122.44713057404348,2021-10-05 00:57:00,2021-10-05 00:45:00,Francisco St at Richardson Ave,40.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Marina,2.0
329,210711253,37.76544762509755,-122.4131049714534,2021-10-30 00:18:00,2021-10-29 23:16:00,16th St at Harrison St,40.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Mission,9.0
333,210786494,37.74172956583084,-122.38958103303904,2021-11-29 06:20:00,2021-11-29 05:50:00,Phelps Street at Galvez Ave,80.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Bayview Hunters Point,10.0
334,210739095,37.79834353657845,-122.42562550441964,2021-11-10 08:04:00,2021-11-10 07:57:00,Franklin St at Union St,30.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Marina,2.0
335,210833590,37.787548139743535,-122.42175810440789,2021-12-17 10:00:00,2021-12-17 09:47:00,Van Ness Ave at Sutter St,26.0,Male,Motorcyclist,Motorcycle Collision,City Street,Nob Hill,3.0
20220105,220010562,37.784953879702925,-122.42798892701636,2022-01-05 21:15:00,2022-01-05 21:05:00,Geary Blvd at Laguna St,33.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Western Addition,5.0
20220129,220065181,37.764166133683055,-122.50619149458082,2022-01-29 21:15:00,2022-01-29 19:34:00,46th Ave at Lincoln Way,38.0,Male,Passenger,Motor Vehicle Collision,City Street,Sunset/Parkside,4.0
20220274,220139128,37.75583251074851,-122.4121978926928,2022-03-02 07:56:00,2022-03-02 07:30:00,Harrison St at 22nd St,23.0,Male,Standup Powered Device Rider,e-Scooter vs Motor Vehicle,City Street,Mission,9.0
20220286,220146446,37.7198309821012,-122.43794063828128,2022-03-04 21:06:00,2022-03-04 20:44:00,IFO 32 France St,47.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Excelsior,11.0
20220287,220146731,37.74769952333886,-122.49751188247416,2022-03-05 01:12:00,2022-03-05 00:23:00,39th Ave at Quintara St,34.0,Female,Driver,Motor Vehicle Collision,City Street,Sunset/Parkside,4.0
20220335,220159314,37.80081414429924,-122.43627391011704,2022-03-14 13:53:00,2022-03-10 09:30:00,Chestnut St at Fillmore St,84.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Marina,2.0
20220356,220182462,37.741729176208274,-122.40632182280068,2022-03-20 09:25:00,2022-03-20 08:58:00,IFO 370 Bay Shore Blvd,67.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Bernal Heights,9.0
20220443,220233087,37.740897516459775,-122.3847055400222,2022-04-09 15:04:00,2022-04-09 14:58:00,Mendell St at Evans St,33.0,Male,Moped,Motorcycle vs Motor Vehicle,City Street,Bayview Hunters Point,10.0
20220545,220285000,37.78321431208168,-122.41076482738804,2022-05-01 21:39:00,2022-05-01 20:26:00,Taylor St at Turk St,34.0,Female,Standup Powered Device Rider,e-Scooter vs. Vehicle,City Street,Tenderloin,5.0
20220604,220316439,37.78465714080953,-122.414430198089,2022-05-15 01:57:00,2022-05-15 01:30:00,Ellis St at Leavenworth St,58.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
20220605,220307096,37.79594936424781,-122.43694967677273,2022-05-15 15:50:00,2022-05-15 09:53:00,Steiner St at Green St,76.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Marina,2.0
20220644,220332736,37.7719829475295,-122.49704682195662,2022-05-21 21:48:00,2022-05-21 15:38:00,37th Ave at Fulton St,81.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Golden Gate Park,1.0
20220649,220335081,37.78624815152765,-122.4020254198228,2022-05-22 16:40:00,2022-05-22 16:30:00,3rd St at Mission St,31.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Financial District/South Beach,6.0
20220650,220335081,37.78624815152765,-122.4020254198228,2022-05-22 16:40:00,2022-05-22 16:30:00,3rd St at Mission St,72.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Financial District/South Beach,6.0
20220687,220357643,37.77482479478578,-122.4241364992255,2022-06-01 04:17:00,2022-06-01 04:05:00,Octavia Blvd at Oak St,31.0,Male,Standup Powered Device Rider,e-Scooter vs. Vehicle,City Street,Hayes Valley,5.0
20220722,220378627,37.78331088989271,-122.4175287731682,2022-06-09 18:12:00,2022-06-09 18:12:00,Larkin St at Eddy St,26.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Tenderloin,5.0
20220736,220389016,37.757035401937536,-122.41890102881644,2022-06-14 01:07:00,2022-06-14 01:07:00,21st St at Mission St,29.0,Female,Driver,Motor Vehicle Collision,City Street,Mission,9.0
20220773,220405894,37.76518313471027,-122.41748659457066,2022-06-21 04:47:00,2022-06-21 04:47:00,South Van Ness Ave at 16th St,48.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
20220795,220410865,37.80614124698443,-122.41707727810976,2022-06-29 21:30:00,2022-06-23 07:53:00,North Point east of Jones St,80.0,Male,Bicyclist,Bicycle Collision,City Street,North Beach,3.0
20220968,220536819,37.76050920940349,-122.44351704781248,2022-08-11 11:49:00,2022-08-11 11:30:00,Market St at Danvers St,41.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Castro/Upper Market,8.0
20220982,220538235,37.70955788898439,-122.47102264278176,2022-08-13 11:00:00,2022-08-11 19:25:00,Junipero Serra Blvd underneath Alemany overpass,61.0,Male,Driver,Motor Vehicle Collision,City Street,Oceanview/Merced/Ingleside,7.0
20220995,220540995,37.78007469524043,-122.4202471839141,2022-08-17 03:18:00,2022-08-12 20:13:00,McAllister St at Van Ness Ave,47.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Hayes Valley,5.0
20220999,220318297,37.712250862470974,-122.40191474827807,2022-05-15 21:01:00,2022-05-15 21:01:00,Bayshore Blvd at Blanken St,62.0,Male,Pedestrian,Pedestrian vs LRV,City Street,Bayview Hunters Point,10.0
20221031,220750649,37.76586798612152,-122.43102547073026,2022-10-31 11:29:00,2022-10-31 23:30:00,Market St at Sanchez St,57.0,Male,Motorcyclist,Motorcycle Collision,City Street,Castro/Upper Market,8.0
20221089,220604513,37.77779901089096,-122.40029776010545,2022-09-07 22:53:00,2022-09-06 05:30:00,5th St and Bryant St,61.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
20221093,9335-2022-01673,37.77727299909231,-122.40406999963324,2022-09-08 05:19:00,2022-09-08 05:19:00,6th St and Harrison St,16.0,Male,Passenger,Motorcycle Collision,City Street,South of Market,6.0
20221094,220610429,37.79963392970328,-122.43769470533336,2022-09-08 05:38:00,2022-09-07 05:20:00,Lombard St and Steiner St,52.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Marina,2.0
20221109,220592861,37.796899747769274,-122.42196091076138,2022-09-09 17:56:00,2022-09-01 18:25:00,Polk St at Vallejo St,95.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Russian Hill,3.0
20221193,220665725,37.77320951026487,-122.47016269341206,2022-09-29 00:27:00,2022-09-28 23:21:00,Golden Gate Park south of Fulton Street and 12th Avenue,37.0,Male,Driver,Motor Vehicle Collision,City Street,Golden Gate Park,1.0
20221297,220731586,37.744681183663445,-122.48118121488804,2022-10-24 11:03:00,2022-10-24 10:45:00,24th Ave at Santiago St,66.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Sunset/Parkside,4.0
20221300,220726929,37.725692145776314,-122.47510883263776,2022-10-24 03:58:00,2022-10-22 12:41:00,19th Ave at Buckingham Way,75.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Lakeshore,7.0
20221318,220741632,37.76903613690056,-122.41342702246178,2022-10-28 02:12:00,2022-10-25 01:45:00,Harrison St between 13th St and 14th St,48.0,Male,Motorcyclist,Motorcycle Collision,City Street,Mission,9.0
20221535,220838160,37.71420819815295,-122.43617656917128,2022-11-21 04:15:00,2022-12-06 22:13:00,Geneva Ave and Naples St,51.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Excelsior,11.0
20221537,220838671,37.748211998287765,-122.41586300015338,2022-12-07 09:34:00,2022-12-07 09:20:00,Cesar Chavez St and South Van Ness  Ave,29.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Bernal Heights,9.0
20221538,2208401437,37.71243621175055,-122.43007433122538,2022-12-07 19:43:00,2022-12-07 19:33:00,Geneva Ave east of Prague St,55.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Excelsior,11.0
20221581,,37.729222731071474,-122.41519258838916,2022-12-15 11:55:00,2022-11-27 13:00:00,Silver Ave at University St,80.0,Male,Standup Powered Device Rider,e-Scooter Collision,City Street,Portola,9.0
20221632,220879277,37.80645395217273,-122.43639239245653,2022-12-24 05:07:00,2022-12-24 05:18:00,Marina Blvd west of Webster St,24.0,Female,Driver,Motor Vehicle Collision,City Street,Marina,2.0
20221662,220887242,37.80612451095784,-122.40954532392044,2022-12-28 05:12:00,2022-12-28 05:01:00,Bay St east of Stockton St,38.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,North Beach,3.0
20221668,220882123,37.78331088989271,-122.4175287731682,2022-12-29 10:04:00,2022-12-25 20:08:00,Larkin St and Eddy St,63.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
20230008,230002236,37.76835372068856,-122.40781348708222,2023-01-01 22:45:00,2023-01-01 20:19:00,Alameda St and Potrero Ave,50.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
20230057,230022717,37.76491737750546,-122.42188644581422,2023-01-10 18:41:00,2023-01-10 17:51:00,16th St & Valencia St,65.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
20230131,230050348,37.7657832994918,-122.4075342296065,2023-01-22 02:11:00,2023-01-22 03:13:00,16th St & Potrero Ave,39.0,Male,Passenger,Motor Vehicle Collision,City Street,Mission,9.0
20230135,230052479,37.78315142791792,-122.42255798140488,2023-01-23 06:00:00,2023-01-23 05:30:00,Franklin St between Ellis and Eddy Sts,44.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Western Addition,2.0
20230246,230100943,37.77359235301197,-122.43756151914768,2023-02-11 12:57:00,2023-02-10 23:55:00,Divisadero St between Fell and Oak Sts,36.0,Male,Passenger,Motor Vehicle Collision,City Street,Hayes Valley,5.0
20230550,230251223,37.787232209378764,-122.41326394102023,2023-04-11 12:47:00,2023-04-11 12:13:00,Jones St between Post and and Geary Sts.,66.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,3.0
20230753,230354413,37.799000050102414,-122.44264789723242,2023-05-23 01:36:00,2023-05-23 01:05:00,Lombard and Divisadero Sts,51.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Marina,2.0
20230755,230355154,37.765783298781656,-122.4075342296065,2023-05-23 10:51:00,2023-05-23 10:21:00,16th and Potrero Sts,58.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
20230816,230382094,37.77123018080332,-122.42026471652224,2023-06-03 03:47:00,2023-06-02 21:39:00,Otis St between Gough and McCoppin Sts and Duboce Avenue,23.0,Male,Standup Powered Device Rider,e-Scooter vs. Vehicle,City Street,Mission,6.0
20230826,230359093,37.802376295760936,-122.43149769980374,2023-06-05 12:37:00,2023-05-24 16:36:00,Laguna and Francisco Sts,84.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Marina,2.0
20230911,,37.74615712815269,-122.38717421911912,2023-06-24 15:00:00,2023-06-24 14:43:00,"3rd St, Arthur Ave, and Cargo Way",24.0,Male,Driver,Motor Vehicle Collision,City Street,Bayview Hunters Point,10.0
20230975,230474726,37.761967528422105,-122.41717893595887,2023-07-09 02:47:00,2023-07-09 02:40:00,18th St and South Van Ness Ave,28.0,Male,Pedestrian,Pedestrian vs Motorcycle,City Street,Mission,9.0
20231011,230472899,37.78591520234827,-122.405536198156,2023-07-14 21:10:00,2023-07-08 10:55:00,"Market St, 100 feet east of 4th and Stockton Sts",55.0,Male,Pedestrian,e-Scooter vs. Pedestrian,City Street,Financial District/South Beach,6.0
20231130,230552140,37.77647864416005,-122.41862179036411,2023-08-06 00:32:00,2023-08-06 00:10:00,Fell St btwn Van Ness Ave and Market St,49.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,6.0
20231175,230576617,37.77551408995729,-122.40629588395058,2023-08-14 23:29:00,2023-08-14 22:42:00,7th St and Harrison St,69.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
20231179,230578817,37.77633297639192,-122.39403506437232,2023-08-15 17:59:00,2023-08-15 17:15:00,4th St and King St,4.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission Bay,6.0
20231203,230590980,37.714973580289566,-122.4852679507255,2023-08-19 18:52:00,2023-08-19 18:45:00,Lake Merced Blvd and Brotherhood Way,29.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Lakeshore,7.0
20231318,230650415,37.74176468143927,-122.50462044625178,2023-09-11 13:55:00,2023-09-11 08:07:00,46th Ave and Taraval St,80.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Sunset/Parkside,4.0
20231370,230676132,37.761700908871845,-122.42157840092688,2023-09-20 20:40:00,2023-09-20 13:28:00,18th St and Valencia St,80.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
20231384,230654376,37.76995827692024,-122.41544857066104,2023-09-24 23:47:00,2023-09-12 15:36:00,Folsom St north of 13th St,66.0,Male,Moped,Moped vs Motor Vehicle,City Street,Mission,6.0
20231412,,37.7215343987564,-122.40107412908972,2023-09-30 16:20:00,2023-09-30 00:00:00,Mansell St and San Bruno Ave,26.0,Male,Driver,Motor Vehicle Collision,City Street,Portola,10.0
20231495,230749325,37.784753446242426,-122.42119297426264,2023-10-19 00:57:00,2023-10-19 00:51:00,O'Farrell St and Van Ness Ave,61.0,Male,Pedestrian,Pedestrian vs. MUNI,City Street,Tenderloin,5.0
20231540,230771362,37.78724521002077,-122.41663869633356,2023-10-28 11:05:00,2023-10-28 10:50:00,Hyde St and Post St,65.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Nob Hill,3.0
20231716,230856011,37.78402881118103,-122.41936257781369,2023-12-06 01:53:00,2023-12-06 01:46:00,Polk St and Ellis St,34.0,Male,Standup Powered Device Rider,Standup Powered Device & Motor Vehicle,City Street,Tenderloin,5.0
20231735,230868351,37.7695545738225,-122.41508266216732,2023-12-11 14:58:00,2023-12-11 14:50:00,13th St entrance for 1745 Folsom St,74.0,Male,Pedestrian,Motor Vehicle & Pedestrian,City Street,Mission,9.0
20231818,230899823 and 230900464,37.732948177789126,-122.40465679329571,2023-12-31 11:15:00,2023-12-26 06:35:00,Bayshore Blvd and Silver Ave,72.0,Male,Pedestrian,Motor Vehicle & Pedestrian,City Street,Portola,9.0
20240003,240001933,37.70862764286938,-122.47100658775732,2024-01-01 20:56:00,2024-01-01 20:26:00,Junipero Serra Blvd near Palmetto Ave,25.0,Male,Passenger,Motor Vehicle Collision (solo),City Street,Oceanview/Merced/Ingleside,7.0
20240157,240067872,37.7743088953789,-122.45837109976888,2024-01-31 13:43:00,2024-01-31 05:18:00,Arguello Blvd and Fulton St,63.0,Male,Pedestrian,Motor Vehicle & Pedestrian,City Street,Golden Gate Park,1.0
20240196,240084274,37.719844672712526,-122.47522912531122,2024-02-08 01:29:00,2024-02-08 01:06:00,19th Ave and Crespi Dr,32.0,Male,Driver,Motor Vehicle Collision (solo),City Street,West of Twin Peaks,7.0
20240197,240084434,37.77603932137727,-122.40252409619654,2024-02-08 05:06:00,2024-02-08 04:58:00,6th St and Bryant St,31.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
20240275,240124870,37.731010873894895,-122.42943415266656,2024-02-26 11:38:00,2024-02-25 18:40:00,Alemany Blvd and Rousseau St,76.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Outer Mission,11.0
20240304,240137782,37.781619193528,-122.41578340517292,2024-03-02 00:40:00,2024-03-02 00:28:00,Golden Gate Ave between Larkin and Hyde Sts,41.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
20240346,240152047,37.76877652958726,-122.46833420319396,2024-03-08 03:41:00,2024-03-08 15:20:00,Martin Luther King Dr and Music Concourse Dr,48.0,Male,Motorcyclist,Motorcycle Collision,City Street,Golden Gate Park,7.0
