unique_id,case_id_fkey,latitude,longitude,death_datetime,collision_datetime,location,age,sex,deceased,collision_type,street_type,analysis_neighborhood,supervisor_district
98,160236165,37.781354512531664,-122.45409992890984,2016-03-25 11:04:00,2016-03-21 15:00:00,3245 Geary Blvd,87.0,Male,Passenger,Motor Vehicle Collision,City Street,Lone Mountain/USF,2.0
99,160253880,37.761997071303995,-122.4237951037144,2016-03-27 17:12:00,2016-03-27 17:00:00,556 Guerrero St,63.0,Male,Driver,Motor Vehicle Collision,City Street,Mission,9.0
101,160085354,37.74223255621,-122.42429512100118,2016-01-31 17:10:00,2016-01-29 18:56:00,30th Street and Dolores Street,60.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Noe Valley,8.0
102,160105849,37.78039693442737,-122.41254681492784,2016-02-06 16:26:00,2016-02-05 09:50:00,7th Street and Market Street,38.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
103,160410228,37.70880233228628,-122.41601067624488,2016-05-19 16:22:00,2016-05-19 16:00:00,Calgary Street and and Geneva Avenue,18.0,Male,Passenger,Motor Vehicle Collision,City Street,Visitacion Valley,10.0
104,160413852,37.76544760844688,-122.41310524233374,2016-05-20 23:07:00,2016-05-22 00:00:00,Westbound on 16th Street and Harrison Street,52.0,Male,Motorcyclist,Motorcycle Collision,City Street,Mission,9.0
105,160469247,37.785460258951616,-122.42302314844368,2016-06-09 10:54:00,2016-06-09 00:00:00,Franklin Street at Geary Blvd,86.0,Female,Pedestrian,Pedestrian vs Bus (Paratransit),City Street,Western Addition,2.0
106,160344304,37.78709723898054,-122.38779488940344,2015-04-27 13:32:00,2016-04-27 00:00:00,The Embarcadero and Bryant Street,56.0,Female,Passenger,Motor Vehicle Collision,City Street,Financial District/South Beach,6.0
107,160384281,37.71277635296424,-122.46996782311597,2016-05-10 22:50:00,2016-05-10 22:25:00,Brotherhood Way at Junipero Serra Blvd Northbound onramp,77.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Oceanview/Merced/Ingleside,11.0
108,160506996,37.77078303708987,-122.48831819952424,2016-06-22 18:42:00,2016-06-22 16:00:00,John F. Kennedy Drive West of 30th Avenue,41.0,Female,Bicyclist,Bicycle vs Motor Vehicle,City Street,Golden Gate Park,1.0
109,160507449,37.77797708693672,-122.40938700577829,2016-06-22 20:56:00,2016-06-22 20:20:00,Howard Street at 7th Street,26.0,Female,Bicyclist,Bicycle vs Motor Vehicle,City Street,South of Market,6.0
110,160546635,37.7817947599926,-122.49238374613608,2016-07-06 13:38:00,2016-07-06 13:15:00,182 32nd Avenue,75.0,Male,Driver,Motor Vehicle Collision,City Street,Outer Richmond,1.0
111,160552450,37.761417279577294,-122.48342310261336,2016-07-15 16:33:00,2016-07-08 00:00:00,Judah Street and 25th Avenue,88.0,Male,Pedestrian,Pedestrian vs LRV,City Street,Sunset/Parkside,4.0
112,160878961,37.746782037138665,-122.47590202077916,2016-11-04 19:05:00,2016-10-28 16:33:00,19th Avenue at Rivera Street,67.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,West of Twin Peaks,7.0
113,160902877,37.76867297676579,-122.4273264693634,2016-11-05 19:58:00,2016-11-05 19:48:00,IFO 2027 Market Street,68.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Castro/Upper Market,8.0
114,160976537,37.799000050102414,-122.44264789723242,2016-12-01 12:37:00,2016-12-01 11:49:00,Lombard Street and Divisadero Street,45.0,Male,Driver,Motor Vehicle Collision,City Street,Marina,2.0
115,160983112,37.731339956630514,-122.4557211954568,2016-12-03 22:58:00,2016-12-03 17:27:00,Monterey Blvd and Valdez Avenue,64.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,West of Twin Peaks,7.0
116,160974616,37.72308504837186,-122.44327377954198,2016-12-11 17:25:00,2016-11-30 18:19:00,Ocean Avenue at Delano Avenue,72.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Outer Mission,11.0
117,161004191,37.77375970048751,-122.40851633075717,2016-12-14 19:55:00,2016-12-11 19:55:00,8th Street and Harrison Street,70.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,South of Market,6.0
118,170172797,37.72993058822092,-122.43011091749904,2017-03-02 12:40:00,2017-03-01 18:44:00,Mission St at Ney Street,50.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Excelsior,11.0
119,170226582,37.800965056249176,-122.4126596608848,2017-03-19 23:25:00,2017-03-19 00:00:00,Mason Street and Filbert St,92.0,Male,Pedestrian,Pedestrian vs Cable Car,City Street,Chinatown,3.0
120,170348073,37.770656736727865,-122.38948328106476,2017-04-28 16:23:00,2017-04-28 11:28:00,3rd Street and Mission Bay Blvd South,25.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,Mission Bay,6.0
121,170352541,37.72227374316909,-122.48503747044523,2017-04-29 23:37:00,2017-04-29 23:29:00,Lake Merced Blvd. 300 ft south of Font Blvd,77.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Lakeshore,7.0
122,170503211,37.729775575997195,-122.43338684426983,2017-06-20 19:09:00,2017-06-20 18:00:00,Silver Avenue at Alemany Boulevard,51.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,Outer Mission,11.0
