,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
unique_id,359.0,13473358.844011143,106866088.64607547,1.0,5.16,21.900000000000002,117.5,282.0,20230943.0,20251044.0,20260298.42,2024039699.0
latitude,359.0,37.76198471891113,0.02779068118066739,37.70862764286938,37.709145258003055,37.71264465308687,37.73890712376961,37.76949595143363,37.78384459607116,37.80039416330109,37.807677796969756,37.82317492258412
longitude,359.0,-122.42830278987275,0.030116408800481477,-122.51336032453428,-122.50645599563688,-122.49334988048125,-122.44264789723242,-122.419650499,-122.4075342296065,-122.3915815927989,-122.37621706609072,-122.37007498699556
collision_year,359.0,2019.8272980501392,3.5889699426028634,2014.0,2014.0,2014.0,2016.5,2020.0,2023.0,2025.0,2026.0,2026.0
age,358.0,52.5,20.92440040270892,0.0,3.1400000000000006,23.0,34.0,53.0,68.0,85.14999999999998,90.86000000000001,95.0
supervisor_district,358.0,6.346368715083799,3.0582808920909925,1.0,1.0,1.0,4.0,6.0,9.0,11.0,11.0,11.0
death_time_hour,323.0,12.43343653250774,7.166458901341999,0.0,0.0,1.0,6.0,13.0,19.0,23.0,23.0,23.0
collision_time_hour,334.0,12.164670658682635,7.11508635190835,0.0,0.0,1.0,6.0,13.0,18.0,23.0,23.0,23.0
collision_year_parsed,359.0,2019.8272980501392,3.5889699426028634,2014.0,2014.0,2014.0,2016.5,2020.0,2023.0,2025.0,2026.0,2026.0
collision_month,359.0,6.651810584958217,3.4525823559932034,1.0,1.0,1.0,3.0,7.0,10.0,12.0,12.0,12.0
collision_hour,359.0,11.317548746518106,7.5301627073492545,0.0,0.0,0.0,5.0,12.0,18.0,22.099999999999966,23.0,23.0
days_collision_to_death,359.0,-1.2423398328690807,42.32931273122207,-706.0,-7.459999999999999,0.0,0.0,0.0,1.0,12.0,20.420000000000016,28.0
